Time,Frequency,Resistance
759, 5009510.014286, 443.828571
760, 5009511.785714, 443.785714
761, 5009513.250000, 443.730000
762, 5009515.014286, 443.670000
763, 5009516.814286, 443.615714
764, 5009518.400000, 443.565000
765, 5009520.385714, 443.505714
766, 5009521.657143, 443.451429
767, 5009522.016667, 443.423333
768, 5009523.585714, 443.370000
769, 5009525.142857, 443.311429
770, 5009526.200000, 443.260000
771, 5009527.485714, 443.200000
772, 5009528.333333, 443.150000
773, 5009529.200000, 443.115714
774, 5009529.842857, 443.075714
775, 5009530.300000, 443.045000
776, 5009530.571429, 443.032857
777, 5009530.028571, 443.030000
778, 5009530.150000, 443.025000
779, 5009530.514286, 443.011429
780, 5009530.833333, 442.990000
781, 5009531.028571, 442.967143
782, 5009531.171429, 442.957143
783, 5009531.100000, 442.948333
784, 5009531.085714, 442.940000
785, 5009530.885714, 442.940000
786, 5009530.257143, 442.950000
787, 5009529.350000, 442.980000
788, 5009529.014286, 442.997143
789, 5009528.685714, 443.000000
790, 5009528.300000, 443.008333
791, 5009527.700000, 443.027143
792, 5009526.900000, 443.057143
793, 5009526.266667, 443.085000
794, 5009525.342857, 443.117143
795, 5009524.466667, 443.156667
796, 5009523.114286, 443.207143
797, 5009521.714286, 443.261429
798, 5009520.833333, 443.290000
799, 5009519.871429, 443.330000
800, 5009518.814286, 443.370000
801, 5009517.933333, 443.420000
802, 5009516.957143, 443.445714
803, 5009515.785714, 443.484286
804, 5009514.816667, 443.523333
805, 5009513.385714, 443.565714
806, 5009511.900000, 443.610000
807, 5009510.757143, 443.657143
808, 5009509.585714, 443.697143
809, 5009508.633333, 443.733333
810, 5009507.628571, 443.768571
811, 5009506.285714, 443.804286
812, 5009505.316667, 443.845000
813, 5009504.242857, 443.870000
814, 5009502.957143, 443.920000
815, 5009501.816667, 443.980000
816, 5009500.228571, 444.031429
817, 5009498.885714, 444.082857
818, 5009497.933333, 444.123333
819, 5009496.957143, 444.152857
820, 5009495.850000, 444.200000
821, 5009494.960000, 444.228000
822, 5009494.233333, 444.255000
823, 5009493.171429, 444.291429
824, 5009492.383333, 444.333333
825, 5009491.300000, 444.360000
826, 5009490.000000, 444.450000
827, 5009488.460000, 444.520000
828, 5009487.600000, 444.560000
829, 5009486.616667, 444.593333
830, 5009485.533333, 444.650000
831, 5009484.516667, 444.701667
832, 5009483.450000, 444.743333
833, 5009482.571429, 444.785714
834, 5009481.566667, 444.826667
835, 5009480.257143, 444.868571
836, 5009479.285714, 444.907143
837, 5009478.483333, 444.946667
838, 5009477.785714, 444.991429
839, 5009476.983333, 445.025000
840, 5009476.328571, 445.054286
841, 5009475.800000, 445.086667
842, 5009475.216667, 445.126667
843, 5009474.666667, 445.160000
844, 5009473.850000, 445.190000
845, 5009473.016667, 445.230000
846, 5009472.528571, 445.244286
